1046,294,1130,288,1133,318,1048,325,0.8700
1011,402,1154,404,1153,437,1010,435,0.8700
157,251,396,252,395,311,157,309,0.8699
1018,190,1142,190,1142,222,1018,222,0.9000
728,259,788,259,788,274,728,274,0.8999
192,450,300,450,300,469,192,469,0.8254
1017,218,1110,192,1120,229,1026,254,0.8100
749,204,797,200,799,222,750,225,0.8100
878,234,946,223,949,238,880,249,0.8100
941,249,1005,233,1012,260,948,276,0.8100
956,320,980,320,980,340,956,340,0.8100
1052,327,1133,322,1135,351,1054,356,0.8100
961,358,1141,352,1142,385,962,390,0.8100
